PERMNO,DATE,COMNAM,TICKER,PRC,VOL,NUMTRD,RET,RETX
83596,20080221,ELECTRONIC DATA SYS CORP NEW,EDS,18.29000,3156900,,-0.008672,-0.008672
83596,20080222,ELECTRONIC DATA SYS CORP NEW,EDS,18.78000,3729800,,0.026791,0.026791
83596,20080225,ELECTRONIC DATA SYS CORP NEW,EDS,19.05000,3774800,,0.014377,0.014377
83596,20080226,ELECTRONIC DATA SYS CORP NEW,EDS,18.88000,5705200,,-0.008924,-0.008924
83596,20080227,ELECTRONIC DATA SYS CORP NEW,EDS,18.63000,4002100,,-0.013242,-0.013242
83596,20080228,ELECTRONIC DATA SYS CORP NEW,EDS,18.19000,4563900,,-0.023618,-0.023618
83596,20080229,ELECTRONIC DATA SYS CORP NEW,EDS,17.32000,5036900,,-0.047829,-0.047829
83596,20080303,ELECTRONIC DATA SYS CORP NEW,EDS,17.20000,3258800,,-0.006928,-0.006928
83596,20080304,ELECTRONIC DATA SYS CORP NEW,EDS,17.17000,3026100,,-0.001744,-0.001744
83596,20080305,ELECTRONIC DATA SYS CORP NEW,EDS,17.17000,3792300,,0.000000,0.000000
83596,20080306,ELECTRONIC DATA SYS CORP NEW,EDS,16.72000,3218200,,-0.026209,-0.026209
83596,20080307,ELECTRONIC DATA SYS CORP NEW,EDS,16.71000,4046300,,-0.000598,-0.000598
83596,20080310,ELECTRONIC DATA SYS CORP NEW,EDS,16.38000,4297700,,-0.019749,-0.019749
83596,20080311,ELECTRONIC DATA SYS CORP NEW,EDS,16.81000,5392600,,0.026252,0.026252
83596,20080312,ELECTRONIC DATA SYS CORP NEW,EDS,16.56000,4001800,,-0.014872,-0.014872
83596,20080313,ELECTRONIC DATA SYS CORP NEW,EDS,16.48000,4444900,,-0.004831,-0.004831
83596,20080314,ELECTRONIC DATA SYS CORP NEW,EDS,16.17000,6885600,,-0.018811,-0.018811
83596,20080317,ELECTRONIC DATA SYS CORP NEW,EDS,15.90000,6071000,,-0.016698,-0.016698
83596,20080318,ELECTRONIC DATA SYS CORP NEW,EDS,16.46000,4043400,,0.035220,0.035220
83596,20080319,ELECTRONIC DATA SYS CORP NEW,EDS,16.31000,3456200,,-0.009113,-0.009113
83596,20080320,ELECTRONIC DATA SYS CORP NEW,EDS,16.77000,3505800,,0.028204,0.028204
83596,20080324,ELECTRONIC DATA SYS CORP NEW,EDS,17.20000,2393800,,0.025641,0.025641
